Casualty_AgeGroup,Casualty_Gender,Casualty_RoadUserType,Total_Casualties
17 to 24,Male,Driver,31056
17 to 24,Female,Driver,30761
30 to 39,Female,Driver,25942
30 to 39,Male,Driver,25820
40 to 49,Female,Driver,22498
40 to 49,Male,Driver,20700
50 to 59,Female,Driver,16298
25 to 29,Male,Driver,15746
50 to 59,Male,Driver,15580
25 to 29,Female,Driver,14989
60 to 74,Male,Driver,13223
17 to 24,Female,Passenger,13008
0 to 16,Female,Passenger,12794
60 to 74,Female,Driver,11798
17 to 24,Male,Passenger,11404
0 to 16,Male,Passenger,10823
30 to 39,Male,Motorcyclist,7557
17 to 24,Male,Motorcyclist,6956
40 to 49,Male,Motorcyclist,6365
30 to 39,Female,Passenger,6050
75 and over,Male,Driver,5580
60 to 74,Female,Passenger,5328
40 to 49,Female,Passenger,5293
50 to 59,Male,Motorcyclist,4968
50 to 59,Female,Passenger,4877
25 to 29,Male,Motorcyclist,4685
25 to 29,Female,Passenger,4584
75 and over,Female,Driver,4189
30 to 39,Male,Passenger,4120
25 to 29,Male,Passenger,3663
0 to 16,Male,Bicyclist,3465
75 and over,Female,Passenger,2630
60 to 74,Male,Motorcyclist,2601
0 to 16,Male,Pedestrian,2581
40 to 49,Male,Passenger,2571
40 to 49,Male,Bicyclist,2558
30 to 39,Male,Bicyclist,2549
17 to 24,Male,Bicyclist,2039
17 to 24,Male,Pedestrian,1990
50 to 59,Male,Passenger,1909
50 to 59,Male,Bicyclist,1825
0 to 16,Female,Pedestrian,1694
60 to 74,Male,Passenger,1667
30 to 39,Male,Pedestrian,1423
17 to 24,Female,Pedestrian,1353
60 to 74,Male,Bicyclist,1291
25 to 29,Male,Bicyclist,1201
40 to 49,Male,Pedestrian,1199
40 to 49,Female,Motorcyclist,1094
30 to 39,Female,Motorcyclist,1026
17 to 24,Female,Motorcyclist,989
50 to 59,Male,Pedestrian,961
60 to 74,Male,Pedestrian,944
75 and over,Male,Passenger,937
25 to 29,Male,Pedestrian,915
30 to 39,Female,Pedestrian,869
50 to 59,Female,Motorcyclist,869
60 to 74,Female,Pedestrian,837
0 to 16,Male,Driver,790
40 to 49,Female,Pedestrian,757
30 to 39,Female,Bicyclist,701
25 to 29,Female,Motorcyclist,691
50 to 59,Female,Pedestrian,680
75 and over,Male,Pedestrian,663
0 to 16,Male,Motorcyclist,632
0 to 16,Female,Bicyclist,630
25 to 29,Female,Pedestrian,611
17 to 24,Female,Bicyclist,595
75 and over,Female,Pedestrian,573
40 to 49,Female,Bicyclist,554
0 to 16,Female,Driver,533
25 to 29,Female,Bicyclist,526
50 to 59,Female,Bicyclist,434
75 and over,Male,Bicyclist,294
60 to 74,Female,Motorcyclist,265
75 and over,Male,Motorcyclist,253
60 to 74,Female,Bicyclist,229
0 to 16,Male,Other,196
17 to 24,Male,Other,189
0 to 16,Female,Motorcyclist,158
30 to 39,Male,Other,137
40 to 49,Male,Other,131
50 to 59,Male,Other,106
25 to 29,Male,Other,86
17 to 24,Female,Other,69
25 to 29,Female,Other,66
0 to 16,Female,Other,61
30 to 39,Female,Other,61
60 to 74,Male,Other,52
40 to 49,Female,Other,48
60 to 74,Female,Other,26
75 and over,Female,Bicyclist,25
50 to 59,Female,Other,20
75 and over,Male,Other,15
75 and over,Female,Motorcyclist,12
75 and over,Female,Other,6
